case_id,corner,temp_k,vdd,spice_snm_mv,native_snm_mv,delta_snm_mv,spice_noise,native_noise,delta_noise,spice_ber_raw,native_ber_raw,spice_ber,native_ber,delta_ber,spice_hold_snm_mv,native_hold_snm_mv,delta_hold_snm_mv,spice_read_snm_mv,native_read_snm_mv,delta_read_snm_mv,spice_write_margin_mv,native_write_margin_mv,delta_write_margin_mv,spice_noise_sigma,native_noise_sigma,delta_noise_sigma,spice_read_fail,spice_read_fail_raw,native_read_fail,delta_read_fail,spice_write_fail,spice_write_fail_raw,native_write_fail,delta_write_fail,native_backend_label,native_engine,data_source,spice_source,simulator,spice_runtime_ms,native_runtime_ms,spice_mc_runs,spice_mc_mode,spice_mc_mode_effective,spice_mc_seed,measure_contract_revision,pdk_id,pdk_class,model_revision,macro_mode,pdk_license,ber_contract_mode,snm_noise_contract_mode,spice_snm_mv_raw,spice_hold_snm_mv_raw,spice_read_snm_mv_raw,spice_write_margin_mv_raw,spice_noise_raw,spice_noise_sigma_raw,spice_snm_mv_contract,spice_hold_snm_mv_contract,spice_read_snm_mv_contract,spice_write_margin_mv_contract,spice_noise_contract,spice_noise_sigma_contract,spice_read_fail_contract,spice_write_fail_contract,snm_mv_contract_requested_raw_key,snm_mv_contract_source_raw_key,snm_mv_contract_fallback_used,snm_mv_contract_fit_status,snm_mv_contract_reason,hold_snm_mv_contract_requested_raw_key,hold_snm_mv_contract_source_raw_key,hold_snm_mv_contract_fallback_used,hold_snm_mv_contract_fit_status,hold_snm_mv_contract_reason,read_snm_mv_contract_requested_raw_key,read_snm_mv_contract_source_raw_key,read_snm_mv_contract_fallback_used,read_snm_mv_contract_fit_status,read_snm_mv_contract_reason,write_margin_mv_contract_requested_raw_key,write_margin_mv_contract_source_raw_key,write_margin_mv_contract_fallback_used,write_margin_mv_contract_fit_status,write_margin_mv_contract_reason,noise_contract_requested_raw_key,noise_contract_source_raw_key,noise_contract_fallback_used,noise_contract_fit_status,noise_contract_reason,noise_sigma_contract_requested_raw_key,noise_sigma_contract_source_raw_key,noise_sigma_contract_fallback_used,noise_sigma_contract_fit_status,noise_sigma_contract_reason,spice_ber_contract,native_ber_contract,delta_ber_contract,ber_contract_center_mv,ber_contract_slope_mv,ber_contract_fit_samples
tt_t233_v1p62,tt,233.15,1.62,271.75230413433854,273.1348139718743,1.3825098375357356,0.03839408749738399,0.03841258919728267,1.8501699898684776e-05,0.999993,0.4003125,0.4076998221799793,0.4073219554315851,-0.00037786674839418444,271.75230413433854,273.1348139718743,1.3825098375357356,267.1340153635129,268.52530326820033,1.391287904687431,1581.5976880413332,1581.5874108027174,-0.010277238615799433,0.03839408749738399,0.03841258919728267,1.8501699898684776e-05,1.6311237516801758e-12,1.0,1.3707502359062531e-12,-2.6037351577392274e-13,0.0,5.88448e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2377.2351000006893,5101.049500000954,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,1.4794,1.4794,-1164.7,1620.0,0.719864,0.719864,271.75230413433854,271.75230413433854,267.1340153635129,1581.5976880413332,0.03839408749738399,0.03839408749738399,1.6311237516801758e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4076998221799793,0.4073219554315851,-0.00037786674839418444,-58.175752914310664,883.3831688760961,45
tt_t233_v1p80,tt,233.15,1.8,295.98831759692763,291.1403249557242,-4.847992641203405,0.03504406500971179,0.03615842207021109,0.0011143570604992964,0.999986,0.4016796875,0.40109183934647613,0.4024108600108078,0.0013190206643316493,295.98831759692763,291.1403249557242,-4.847992641203405,292.6005374378729,286.80131430729887,-5.799223130574035,1763.82102345255,1763.8415779297889,0.020554477238874824,0.03504406500971179,0.03615842207021109,0.0011143570604992964,6.760684363821703e-14,1.0,1.3957639789274375e-13,7.196955425452672e-14,0.0,9.95594e-96,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2154.3629999978293,14.618900000641588,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,8.41924,8.41924,-1664.49,1800.0,0.929393,0.929393,295.98831759692763,295.98831759692763,292.6005374378729,1763.82102345255,0.03504406500971179,0.03504406500971179,6.760684363821703e-14,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40109183934647613,0.4024108600108078,0.0013190206643316493,-58.175752914310664,883.3831688760961,45
tt_t233_v1p98,tt,233.15,1.98,305.65696376628966,309.1224465699574,3.465482803667726,0.03509877713525439,0.03396591837485639,-0.001132858760398002,0.999981,0.3977734375,0.39846552696703946,0.397525603712397,-0.0009399232546424829,305.65696376628966,309.1224465699574,3.465482803667726,300.638601139088,305.0465363649746,4.407935225886604,1946.0443588637668,1946.0340816251435,-0.010277238623302765,0.03509877713525439,0.03396591837485639,-0.001132858760398002,2.4753112842608454e-14,1.0,1.4267145112623038e-14,-1.0485967729985415e-14,0.0,1.68444e-105,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2402.889299999515,16.456600002129562,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,11.1878,11.1878,-1822.24,1980.0,0.925971,0.925971,305.65696376628966,305.65696376628966,300.638601139088,1946.0443588637668,0.03509877713525439,0.03509877713525439,2.4753112842608454e-14,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.39846552696703946,0.397525603712397,-0.0009399232546424829,-58.175752914310664,883.3831688760961,45
tt_t298_v1p62,tt,298.15,1.62,265.4125820596251,262.2956647649848,-3.1169172946403023,0.053065078659316,0.053084288376146066,1.9209716830066725e-05,0.999985,0.40814453125,0.40943398309207607,0.41028741101532873,0.0008534279232526587,265.4125820596251,262.2956647649848,-3.1169172946403023,255.2092421087792,255.92555015984726,0.7163080510680686,1558.8403334558077,1566.9157116238541,8.075378168046427,0.053065078659316,0.053084288376146066,1.9209716830066725e-05,7.241771453186851e-12,0.999999,6.62153585920206e-12,-6.202355939847915e-13,0.0,3.98308e-08,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2393.1057000008877,15.297000001737615,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,8.96088,8.96088,-59.6853,186.309,0.484871,0.484871,265.4125820596251,265.4125820596251,255.2092421087792,1558.8403334558077,0.053065078659316,0.053065078659316,7.241771453186851e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40943398309207607,0.41028741101532873,0.0008534279232526587,-58.175752914310664,883.3831688760961,45
tt_t298_v1p80,tt,298.15,1.8,275.82115399511474,280.2988889422053,4.477734947090539,0.0478476200606483,0.04947998807636279,0.0016323680157144874,0.999981,0.40287109375,0.40658804035967383,0.4053656395141288,-0.0012224008455450353,275.82115399511474,280.2988889422053,4.477734947090539,282.6111219497908,274.36129037304175,-8.249831576749045,1830.9907515993207,1750.5200119236372,-80.47073967568349,0.0478476200606483,0.04947998807636279,0.0016323680157144874,2.3565907218517157e-13,1.0,6.609082981825608e-13,4.252492259973892e-13,0.0,9.95594e-96,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2328.001099998801,14.143399999738904,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,11.0673,11.0673,-1647.25,1800.0,0.921286,0.921286,275.82115399511474,275.82115399511474,282.6111219497908,1830.9907515993207,0.0478476200606483,0.0478476200606483,2.3565907218517157e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40658804035967383,0.4053656395141288,-0.0012224008455450353,-58.175752914310664,883.3831688760961,45
tt_t298_v1p98,tt,298.15,1.98,299.6617161893385,298.30089853688827,-1.360817652450237,0.04790830500467368,0.04625672727212911,-0.001651577732544575,0.99997,0.40390625,0.4000933492067053,0.40046314552324025,0.0003697963165349427,299.6617161893385,298.30089853688827,-1.360817652450237,285.2165677385519,292.75009126423276,7.5335235256808915,1861.3479112202347,1933.743272727871,72.39536150763638,0.04790830500467368,0.04625672727212911,-0.001651577732544575,1.7015425833686715e-13,1.0,6.635472602026041e-14,-1.0379953231660674e-13,0.0,1.68444e-105,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2925.037599998177,18.60379999925499,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,15.892,15.892,-1798.2,1980.0,0.91621,0.91621,299.6617161893385,299.6617161893385,285.2165677385519,1861.3479112202347,0.04790830500467368,0.04790830500467368,1.7015425833686715e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4000933492067053,0.40046314552324025,0.0003697963165349427,-58.175752914310664,883.3831688760961,45
tt_t398_v1p62,tt,398.15,1.62,265.00604851359384,245.62640618687263,-19.37964232672121,0.07522916525108461,0.084152853097603,0.008923687846518383,0.999987,0.41810546875,0.4095452632415306,0.4148605949328822,0.005315331691351566,265.00604851359384,245.62640618687263,-19.37964232672121,255.92931634274274,235.52806381516027,-20.40125252758247,1738.8771547271192,1535.847146902397,-203.03000782472213,0.07522916525108461,0.084152853097603,0.008923687846518383,6.618419353455965e-12,1.0,8.477605553475847e-11,7.81576361813025e-11,0.0,5.88521e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2548.095199999807,15.277200000127777,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,7.33138,7.33138,-1460.38,1620.0,0.905994,0.905994,265.00604851359384,265.00604851359384,255.92931634274274,1738.8771547271192,0.07522916525108461,0.07522916525108461,6.618419353455965e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4095452632415306,0.4148605949328822,0.005315331691351566,-58.175752914310664,883.3831688760961,45
tt_t398_v1p80,tt,398.15,1.8,258.032677283943,263.60877998402475,5.576102700081776,0.07275784121701966,0.07295496011223461,0.00019711889521495385,0.999985,0.41248046875,0.41145551295323174,0.40992780718089145,-0.0015277057723402931,258.032677283943,263.60877998402475,5.576102700081776,251.1808627777269,254.8541847705566,3.673321992829699,1685.0366826689767,1727.0450398877654,42.00835721878866,0.07275784121701966,0.07295496011223461,0.00019711889521495385,1.1982092801416319e-11,0.999998,7.570415999220905e-12,-4.411676802195414e-12,0.0,4.79398e-11,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2684.766900001705,16.74750000165659,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,9.06746,9.06746,-56.8689,240.089,0.46994,0.46994,258.032677283943,258.032677283943,251.1808627777269,1685.0366826689767,0.07275784121701966,0.07275784121701966,1.1982092801416319e-11,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.41145551295323174,0.40992780718089145,-0.0015277057723402931,-58.175752914310664,883.3831688760961,45
tt_t398_v1p98,tt,398.15,1.98,267.8230241005867,281.6265637272262,13.80353962663952,0.07517575499066496,0.06605494824893163,-0.009120806741733337,0.999988,0.4079296875,0.40877436534521244,0.4050034151371692,-0.0037709502080432444,267.8230241005867,281.6265637272262,13.80353962663952,256.97203940260164,273.6999699373544,16.727930534752772,1752.9234011451354,1913.9450517510684,161.02165060593302,0.07517575499066496,0.06605494824893163,-0.009120806741733337,5.809625962693318e-12,1.0,7.17864011970755e-13,-5.091761950722563e-12,0.0,1.68465e-105,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2524.5380000014848,12.358399999357061,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,6.63007,6.63007,-1768.58,1980.0,0.89657,0.89657,267.8230241005867,267.8230241005867,256.97203940260164,1752.9234011451354,0.07517575499066496,0.07517575499066496,5.809625962693318e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40877436534521244,0.4050034151371692,-0.0037709502080432444,-58.175752914310664,883.3831688760961,45
ff_t233_v1p62,ff,233.15,1.62,286.50856985995483,273.1348139718743,-13.373755888080552,0.03730932582917968,0.03841258919728267,0.0011032633681029927,0.99999,0.4003125,0.4036723683846486,0.4073219554315851,0.00364958704693652,286.50856985995483,273.1348139718743,-13.373755888080552,279.1905054190203,268.52530326820033,-10.665202150819994,1694.9116991173523,1581.5874108027174,-113.32428831463494,0.03730932582917968,0.03841258919728267,0.0011032633681029927,3.6139199123874027e-13,1.0,1.3707502359062531e-12,1.0093582446675128e-12,0.0,5.88448e-86,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2377.799399997457,20.172699998511234,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,4.65508,4.65508,-1490.79,1620.0,0.923115,0.923115,286.50856985995483,286.50856985995483,279.1905054190203,1694.9116991173523,0.03730932582917968,0.03730932582917968,3.6139199123874027e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4036723683846486,0.4073219554315851,0.00364958704693652,-58.175752914310664,883.3831688760961,45
ff_t233_v1p80,ff,233.15,1.8,297.10922031405073,291.1403249557242,-5.968895358326506,0.03727356929472539,0.03615842207021109,-0.0011151472245142999,0.999752,0.4016796875,0.4007870720949457,0.4024108600108078,0.001623787915862096,297.10922031405073,291.1403249557242,-5.968895358326506,276.9966624037458,286.80131430729887,9.804651903553065,1663.6688325603895,1763.8415779297889,100.17274536939931,0.03727356929472539,0.03615842207021109,-0.0011151472245142999,4.754176089119654e-13,1.0,1.3957639789274375e-13,-3.3584121101922165e-13,0.0,9.95594e-96,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2217.582500001299,16.55600000231061,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,36.9721,36.9721,-1616.07,1800.0,0.918356,0.918356,297.10922031405073,297.10922031405073,276.9966624037458,1663.6688325603895,0.03727356929472539,0.03727356929472539,4.754176089119654e-13,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4007870720949457,0.4024108600108078,0.001623787915862096,-58.175752914310664,883.3831688760961,45
ff_t233_v1p98,ff,233.15,1.98,289.77979532355033,309.1224465699574,19.34265124640706,0.03395403451844507,0.03396591837485639,1.188385641131412e-05,0.999973,0.3977734375,0.4027812817508948,0.397525603712397,-0.005255678038497802,289.77979532355033,309.1224465699574,19.34265124640706,304.1859861177076,305.0465363649746,0.8605502472669855,1932.8825386799072,1946.0340816251435,13.151542945236315,0.03395403451844507,0.03396591837485639,1.188385641131412e-05,1.588742840602845e-14,0.999999,1.4267145112623038e-14,-1.620283293405413e-15,0.0,1.57869e-11,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2696.5863999976136,15.775200001371559,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,14.6277,14.6277,-63.4163,248.975,0.476544,0.476544,289.77979532355033,289.77979532355033,304.1859861177076,1932.8825386799072,0.03395403451844507,0.03395403451844507,1.588742840602845e-14,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.4027812817508948,0.397525603712397,-0.005255678038497802,-58.175752914310664,883.3831688760961,45
ff_t298_v1p62,ff,298.15,1.62,279.9628746346411,262.2956647649848,-17.66720986965629,0.05127164281647782,0.053084288376146066,0.001812645559668244,0.999994,0.40814453125,0.40545732935353235,0.41028741101532873,0.0048300816617963815,279.9628746346411,262.2956647649848,-17.66720986965629,265.5157482375872,255.92555015984726,-9.590198077739956,1655.5343605309492,1566.9157116238541,-88.61864890709512,0.05127164281647782,0.053084288376146066,0.001812645559668244,1.9968133527164876e-12,0.999999,6.62153585920206e-12,4.6247225064855725e-12,0.0,4.32339e-09,0.0,0.0,hybrid-native,cpu,foundry-pdk-pre-silicon,pdk,ngspice,2686.8709000009403,16.654300001391675,1,off,off,20260218,v3-ber-contract-aligned-2026-02-18,gf180mcu,foundry-open,gf180mcu-open-local,6t-cell,Apache-2.0,native_fit,affine_corner_temp,0.128295,0.128295,-60.8529,204.074,0.474657,0.474657,279.9628746346411,279.9628746346411,265.5157482375872,1655.5343605309492,0.05127164281647782,0.05127164281647782,1.9968133527164876e-12,0.0,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,spice_snm_mv_raw,spice_snm_mv_raw,False,fitted,usable,,spice_read_snm_mv_raw,False,fitted,usable,,spice_write_margin_mv_raw,False,fitted,usable,,spice_noise_raw,False,fitted,usable,,spice_noise_sigma_raw,False,fitted,usable,0.40545732935353235,0.41028741101532873,0.0048300816617963815,-58.175752914310664,883.3831688760961,45
